time,growth,close,color
2020-12-11,-0.012882505773672004,273.55,"rgba(170,23,23,0.7)"
2020-12-10,-0.0028785261945883933,277.12,"rgba(170,23,23,0.7)"
2020-12-09,-0.019336626676076052,277.92,"rgba(170,23,23,0.7)"
2020-12-08,-0.007633587786259555,283.4,"rgba(170,23,23,0.7)"
2020-12-07,0.021022524132999543,285.58,"rgba(23,170,23,0.7)"
2020-12-04,-0.007628171012950324,279.7,"rgba(170,23,23,0.7)"
2020-12-03,-0.01972036727879789,281.85,"rgba(170,23,23,0.7)"
2020-12-02,0.003385098586633939,287.52,"rgba(23,170,23,0.7)"
2020-12-01,0.034588583601111944,286.55,"rgba(23,170,23,0.7)"
2020-11-30,-0.0030236492566861894,276.97,"rgba(170,23,23,0.7)"
2020-11-27,,277.81,"rgba(170,23,23,0.7)"
2020-11-25,-0.004802831142568409,275.59,"rgba(170,23,23,0.7)"
2020-11-24,0.03162835748612314,276.92,"rgba(23,170,23,0.7)"
2020-11-23,-0.004708935854653262,268.43,"rgba(170,23,23,0.7)"
2020-11-20,-0.011870740822158776,269.7,"rgba(170,23,23,0.7)"
2020-11-19,0.003566569842262002,272.94,"rgba(23,170,23,0.7)"
2020-11-18,-0.011018181818181705,271.97,"rgba(170,23,23,0.7)"
2020-11-17,-0.014195583596214423,275.0,"rgba(170,23,23,0.7)"
2020-11-16,0.007257627730637317,278.96,"rgba(23,170,23,0.7)"
2020-11-13,0.006798022393485592,276.95,"rgba(23,170,23,0.7)"
2020-11-12,-0.005063657407407551,275.08,"rgba(170,23,23,0.7)"
2020-11-11,0.014866204162537144,276.48,"rgba(23,170,23,0.7)"
2020-11-10,-0.022742762851095777,272.43,"rgba(170,23,23,0.7)"
2020-11-09,-0.04989604989605001,278.77,"rgba(170,23,23,0.7)"
2020-11-06,-0.004309759739378194,293.41,"rgba(170,23,23,0.7)"
2020-11-05,0.025401906882872805,294.68,"rgba(23,170,23,0.7)"
2020-11-04,0.08322653599698437,287.38,"rgba(23,170,23,0.7)"
2020-11-03,0.015074992347719585,265.3,"rgba(23,170,23,0.7)"
2020-11-02,-0.006651210520314699,261.36,"rgba(170,23,23,0.7)"
2020-10-30,-0.06309867179432382,263.11,"rgba(170,23,23,0.7)"
2020-10-29,0.04916501662494843,280.83,"rgba(23,170,23,0.7)"
2020-10-28,-0.05513784461152882,267.67,"rgba(170,23,23,0.7)"
2020-10-27,0.022301613077839066,283.29,"rgba(23,170,23,0.7)"
2020-10-26,-0.026967239018223954,277.11,"rgba(170,23,23,0.7)"
2020-10-23,0.023982453617143795,284.79,"rgba(23,170,23,0.7)"
2020-10-22,-0.0021884978294407498,278.12,"rgba(170,23,23,0.7)"
2020-10-21,0.041747645387950394,278.73,"rgba(23,170,23,0.7)"
2020-10-20,0.023565416985462884,267.56,"rgba(23,170,23,0.7)"
2020-10-19,-0.017034557966382202,261.4,"rgba(170,23,23,0.7)"
2020-10-16,-0.002961907618476367,265.93,"rgba(170,23,23,0.7)"
2020-10-15,-0.018762416304907492,266.72,"rgba(170,23,23,0.7)"
2020-10-14,-0.01564423842978202,271.82,"rgba(170,23,23,0.7)"
2020-10-13,0.0014143245693563067,276.14,"rgba(23,170,23,0.7)"
2020-10-12,0.0427301947438079,275.75,"rgba(23,170,23,0.7)"
2020-10-09,0.002616014558689761,264.45,"rgba(23,170,23,0.7)"
2020-10-08,0.021850302185030257,263.76,"rgba(23,170,23,0.7)"
2020-10-07,-0.002087682672233915,258.12,"rgba(170,23,23,0.7)"
2020-10-06,-0.022633667107500255,258.66,"rgba(170,23,23,0.7)"
