timestamp,open,high,low,close,volume
2020-12-11 20:00:00,273.1000,273.1500,272.8000,272.8000,10156
2020-12-11 19:00:00,273.2200,273.2200,273.0200,273.0800,1215
2020-12-11 18:00:00,273.5396,273.5500,273.0500,273.0500,2645
2020-12-11 17:00:00,273.5500,273.5774,273.1100,273.5400,452886
2020-12-11 16:00:00,273.3600,274.1200,272.4300,273.5800,3056101
2020-12-11 15:00:00,273.1600,274.1900,272.9200,273.3900,1093990
2020-12-11 14:00:00,271.3800,273.3500,271.3100,273.1500,1783099
2020-12-11 13:00:00,272.6900,272.9800,270.2500,271.4100,1815342
2020-12-11 12:00:00,274.2600,274.6190,271.9000,272.6900,1416502
2020-12-11 11:00:00,274.8000,275.5300,273.4000,274.2824,1887934
2020-12-11 10:00:00,275.0000,276.7100,274.0200,274.8350,1674827
2020-12-11 09:00:00,274.7501,276.4300,274.5400,275.1000,26564
2020-12-11 08:00:00,274.6000,275.2000,274.5300,275.1200,11044
2020-12-11 07:00:00,274.6000,274.6300,273.3700,274.2600,5246
2020-12-11 06:00:00,275.0300,275.2000,274.6000,274.6000,4208
2020-12-11 05:00:00,274.5000,275.5000,273.8000,275.0000,9052
2020-12-10 20:00:00,277.1300,277.2600,276.5700,276.6000,11454
2020-12-10 19:00:00,277.2600,277.5000,276.8600,277.2500,13935
2020-12-10 18:00:00,277.0000,277.4600,277.0000,277.4000,5271
2020-12-10 17:00:00,277.1200,277.2098,276.6400,277.1000,226026
2020-12-10 16:00:00,275.9000,278.0300,275.9000,276.9300,2342097
2020-12-10 15:00:00,276.2688,276.9000,275.6838,275.8900,1294871
2020-12-10 14:00:00,275.2507,276.8300,275.0600,276.2500,1180379
2020-12-10 13:00:00,274.4800,276.8300,274.4300,275.3224,1488098
2020-12-10 12:00:00,275.6901,276.0600,274.0100,274.5300,2808541
2020-12-10 11:00:00,276.3250,278.7300,275.0000,275.7200,3316676
2020-12-10 10:00:00,275.4000,276.9400,271.8600,276.4000,3795877
2020-12-10 09:00:00,273.6300,276.4461,273.1000,275.3600,296408
2020-12-10 08:00:00,275.1000,275.3700,273.2100,275.1700,112610
2020-12-10 07:00:00,274.5400,275.4900,274.3000,275.0200,10587
2020-12-10 06:00:00,275.0300,275.0300,274.5000,274.7500,2648
2020-12-10 05:00:00,275.0000,275.7200,274.0100,275.0000,5680
2020-12-09 20:00:00,277.5700,277.7500,277.1100,277.1100,24349
2020-12-09 19:00:00,277.6300,277.9200,277.5000,277.6700,15975
2020-12-09 18:00:00,278.1000,278.1000,277.3200,277.3200,268851
2020-12-09 17:00:00,277.9200,278.8100,276.9000,277.9600,1048889
2020-12-09 16:00:00,277.9700,279.8700,276.0200,277.9200,6130129
2020-12-09 15:00:00,276.4000,278.3100,271.7500,278.0200,7472793
2020-12-09 14:00:00,279.5500,280.6600,276.3000,276.3400,1929053
2020-12-09 13:00:00,282.0000,282.0200,278.3700,279.5700,1720571
2020-12-09 12:00:00,284.2900,284.3000,281.4400,282.0200,1322355
2020-12-09 11:00:00,287.0389,287.1200,283.6700,284.3500,1576457
2020-12-09 10:00:00,282.7600,287.6300,280.8400,287.0101,2148262
2020-12-09 09:00:00,283.3912,283.4000,282.3800,282.7900,27980
2020-12-09 08:00:00,283.3500,283.5500,282.5500,282.7100,14568
2020-12-09 07:00:00,283.2700,283.2700,283.2000,283.2000,2408
2020-12-09 06:00:00,283.6000,283.6000,283.2400,283.2600,701
2020-12-09 05:00:00,283.5200,283.5200,283.5200,283.5200,408
2020-12-08 20:00:00,283.7000,283.8100,283.5100,283.7000,8847
2020-12-08 19:00:00,283.5900,284.6000,283.5400,283.7000,6680
2020-12-08 18:00:00,283.4000,283.7500,283.3500,283.5000,9058
2020-12-08 17:00:00,283.2400,283.6626,283.0840,283.4000,430363
2020-12-08 16:00:00,284.0300,284.3300,283.0700,283.2400,1837007
2020-12-08 15:00:00,283.8900,284.9500,283.5500,284.0000,891956
2020-12-08 14:00:00,283.9300,284.4700,283.4400,283.9200,898645
2020-12-08 13:00:00,284.4500,284.9600,283.3601,283.9450,863163
2020-12-08 12:00:00,284.3000,285.0500,283.3500,284.4542,976017
2020-12-08 11:00:00,282.9100,284.5100,281.5500,284.2801,1812812
2020-12-08 10:00:00,286.0900,286.4272,282.2000,282.8877,1623525
2020-12-08 09:00:00,284.0500,286.4200,284.0500,285.9300,20950
2020-12-08 08:00:00,284.2300,286.0000,284.0600,285.7000,38031
2020-12-08 07:00:00,284.5500,284.5500,284.5500,284.5500,184
2020-12-08 06:00:00,284.3200,284.7500,284.3200,284.6000,656
2020-12-08 05:00:00,285.0000,285.0000,284.5300,284.6300,1521
2020-12-07 20:00:00,284.8500,284.8500,284.3600,284.7200,8421
2020-12-07 19:00:00,284.8000,285.2000,284.8000,284.9500,1617
2020-12-07 18:00:00,284.8500,285.2800,284.7900,284.7900,6744
2020-12-07 17:00:00,285.5800,285.7845,285.0000,285.0300,619422
2020-12-07 16:00:00,285.8823,286.2800,285.0100,285.5800,1384329
2020-12-07 15:00:00,285.8500,286.5600,285.1800,285.8500,740937
2020-12-07 14:00:00,286.3800,286.5400,284.8500,285.8700,759342
2020-12-07 13:00:00,286.9000,287.1665,286.1000,286.3900,1287262
2020-12-07 12:00:00,287.4600,288.1700,286.6801,286.9200,1313649
